Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.65      0.03     0.03   755302     0.00     0.00  SatProblem::isSatCnj(int*, int)
 11.76      0.05     0.02   320036     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  5.88      0.06     0.01  2312815     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  5.88      0.07     0.01  1755636     0.00     0.00  std::list<int, std::allocator<int> >::end()
  5.88      0.08     0.01   640096     0.00     0.00  std::allocator<int>::~allocator()
  5.88      0.09     0.01   320036     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned int)
  5.88      0.10     0.01   320036     0.00     0.00  std::list<int, std::allocator<int> >::_M_create_node(int const&)
  5.88      0.11     0.01   320036     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  5.88      0.12     0.01   201011     0.00     0.00  SatProblem::getGrand()
  5.88      0.13     0.01    62475     0.00     0.00  SatProblem::getNsc2(int*, int)
  5.88      0.14     0.01    55108     0.00     0.00  Timer::time()
  5.88      0.15     0.01     8408     0.00     0.00  SampleSAT::randomWalk()
  5.88      0.16     0.01     7531     0.00     0.00  SatProblem::setClause(int, int)
  5.88      0.17     0.01        1    10.00   169.99  SliceSampling::cdlearn(int)
  0.00      0.17     0.00  2112823     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  0.00      0.17     0.00  1435600     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  0.00      0.17     0.00  1276785     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.17     0.00  1078413     0.00     0.00  std::_List_iterator<int>::operator++(int)
  0.00      0.17     0.00   647627     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.17     0.00   647627     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.17     0.00   640096     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const
  0.00      0.17     0.00   640096     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  0.00      0.17     0.00   640072     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.17     0.00   360378     0.00     0.00  SatProblem::getTheta(int)
  0.00      0.17     0.00   357187     0.00     0.00  std::list<int, std::allocator<int> >::begin()
