Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.00      0.06     0.06        1    60.00   369.98  SliceSampling::cdlearn(int)
 12.50      0.11     0.05    10000     0.01     0.01  SatProblem::initParams()
 10.00      0.15     0.04   175737     0.00     0.00  SatProblem::getNsc2(int*, int)
  7.50      0.18     0.03     2000     0.01     0.01  SliceSampling::modelcheck(int)
  6.25      0.20     0.03  1850848     0.00     0.00  std::_List_iterator<int>::operator++(int)
  5.00      0.23     0.02  4446935     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  5.00      0.24     0.02   405704     0.00     0.00  Random::genrand()
  5.00      0.27     0.02    85500     0.00     0.00  Timer::time()
  3.75      0.28     0.01  4894515     0.00     0.00  SatProblem::getTheta(int)
  2.50      0.29     0.01  3133929     0.00     0.00  std::list<int, std::allocator<int> >::end()
  2.50      0.30     0.01  2713869     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  2.50      0.31     0.01  1251288     0.00     0.00  SatProblem::isSatCnj(int*, int)
  2.50      0.32     0.01   840120     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  2.50      0.33     0.01   420060     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  2.50      0.34     0.01   420060     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  2.50      0.35     0.01    22447     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  2.50      0.36     0.01    10000     0.00     0.03  SliceSampling::sampleX()
  1.25      0.36     0.01  3996950     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  1.25      0.37     0.01  2113536     0.00     0.00  std::_List_iterator<int>::operator*() const
  1.25      0.38     0.01   862627     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  1.25      0.38     0.01   840180     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  1.25      0.39     0.01   420060     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  1.25      0.39     0.01   150049     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_init()
  1.25      0.40     0.01    52893     0.00     0.00  SatProblem::getCnj(int, int)
  1.25      0.40     0.01    22447     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.40     0.00  1294500     0.00     0.00  SatProblem::getRealProb(int)
  0.00      0.40     0.00   863021     0.00     0.00  std::list<int, std::allocator<int> >::begin()
  0.00      0.40     0.00   862627     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.40     0.00   840180     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const
  0.00      0.40     0.00   840180     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.40     0.00   513708     0.00     0.00  SatProblem::getClVecSize()
  0.00      0.40     0.00   420120     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.40     0.00   420060     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned int)
  0.00      0.40     0.00   420060     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  0.00      0.40     0.00   420060     0.00     0.00  __gnu_cxx::new_allocator<int>::destroy(int*)
  0.00      0.40     0.00   420060     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00      0.40     0.00   420060     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.40     0.00   420060     0.00     0.00  std::list<int, std::allocator<int> >::_M_create_node(int const&)
  0.00      0.40     0.00   420060     0.00     0.00  std::list<int, std::allocator<int> >::_M_insert(std::_List_iterator<int>, int const&)
  0.00      0.40     0.00   410218     0.00     0.00  SatProblem::getVar(int)
  0.00      0.40     0.00   405704     0.00     0.00  SatProblem::getGrand()
  0.00      0.40     0.00   300000     0.00     0.00  std::list<int, std::allocator<int> >::empty() const
  0.00      0.40     0.00   258993     0.00     0.00  SatProblem::getClVec(int)
  0.00      0.40     0.00   233504     0.00     0.00  SatProblem::getFixedClausei(int)
  0.00      0.40     0.00   172600     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00      0.40     0.00   151837     0.00     0.00  SatProblem::getNumSat()
  0.00      0.40     0.00   150049     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      0.40     0.00   149985     0.00     0.00  std::list<int, std::allocator<int> >::clear()
  0.00      0.40     0.00    93621     0.00     0.00  SatProblem::getCnjSize(int)
  0.00      0.40     0.00    52893     0.00     0.00  SatProblem::getCnf(int)
  0.00      0.40     0.00    47277     0.00     0.00  SampleSAT::walk()
  0.00      0.40     0.00    45463     0.00     0.00  SatProblem::addNumSat(int)
  0.00      0.40     0.00    45463     0.00     0.00  SatProblem::afterFlip(int*, int)
  0.00      0.40     0.00    23598     0.00     0.00  SampleSAT::simAnnealing()
  0.00      0.40     0.00    23598     0.00     0.00  SampleSAT::getTemp()
  0.00      0.40     0.00    22447     0.00     0.00  SatProblem::setAtom(int, int)
  0.00      0.40     0.00    22447     0.00     0.00  SatProblem::rewriteWL(int, int)
  0.00      0.40     0.00    22447     0.00     0.00  SatProblem::setClause(int, int)
  0.00      0.40     0.00    22447     0.00     0.00  SliceSampling::unitProc(int, int)
  0.00      0.40     0.00    22447     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.40     0.00    22447     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.40     0.00    22447     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.40     0.00    22447     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.40     0.00    22447     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
