Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.08      0.03     0.03   190117     0.00     0.00  Random::genrand()
 23.08      0.06     0.03        1    30.00   130.00  SliceSampling::cdlearn(int)
 15.38      0.08     0.02   100000     0.00     0.00  SliceSampling::modelcheck(int)
  7.69      0.09     0.01  1443654     0.00     0.00  SatProblem::getTheta(int)
  7.69      0.10     0.01   650945     0.00     0.00  SatProblem::isSatCnj(int*, int)
  7.69      0.11     0.01   320036     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned int, void const*)
  7.69      0.12     0.01    10000     0.00     0.00  SatProblem::initParams()
  7.69      0.13     0.01    10000     0.00     0.01  SliceSampling::sampleX()
  0.00      0.13     0.00  2097771     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  0.00      0.13     0.00  1897779     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  0.00      0.13     0.00  1584532     0.00     0.00  std::list<int, std::allocator<int> >::end()
  0.00      0.13     0.00  1264496     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  0.00      0.13     0.00  1131261     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.13     0.00   951249     0.00     0.00  std::_List_iterator<int>::operator++(int)
  0.00      0.13     0.00   653627     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.13     0.00   653627     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.13     0.00   640096     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Node_allocator() const
  0.00      0.13     0.00   640096     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  0.00      0.13     0.00   640096     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.13     0.00   640072     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.13     0.00   320060     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.13     0.00   320036     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned int)
  0.00      0.13     0.00   320036     0.00     0.00  __gnu_cxx::new_allocator<int>::destroy(int*)
  0.00      0.13     0.00   320036     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.00      0.13     0.00   320036     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00      0.13     0.00   320036     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.13     0.00   320036     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
