Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 12.98      0.14     0.14 12596700     0.00     0.00  std::_List_iterator<int>::operator++(int)
 12.50      0.27     0.13        1     0.13     1.02  SampleSAT::islearn(int, char*)
 11.54      0.39     0.12  9021028     0.00     0.00  SatProblem::isSatCnj(int*, int)
 11.54      0.51     0.12   766813     0.00     0.00  SatProblem::getNsc2(int*, int)
  3.85      0.55     0.04 24194536     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::_List_node_base*)
  3.85      0.58     0.04   800020     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_clear()
  2.88      0.61     0.03 26194528     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int)
  2.88      0.65     0.03  6400072     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  2.88      0.68     0.03  3200036     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_get_node()
  2.88      0.70     0.03  3200036     0.00     0.00  std::list<int, std::allocator<int> >::_M_insert(std::_List_iterator<int>, int const&)
  2.88      0.73     0.03   100000     0.00     0.00  SatProblem::initParams()
  2.40      0.76     0.03 16795600     0.00     0.00  std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const
  1.92      0.78     0.02  6400096     0.00     0.00  std::allocator<int>::allocator<std::_List_node<int> >(std::allocator<std::_List_node<int> > const&)
  1.92      0.80     0.02  3200036     0.00     0.00  __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  1.92      0.82     0.02  3200036     0.00     0.00  std::list<int, std::allocator<int> >::push_back(int const&)
  1.92      0.84     0.02   383232     0.00     0.00  SampleSAT::walk()
  1.92      0.86     0.02   374226     0.00     0.00  SatProblem::afterFlip(int*, int)
  1.44      0.88     0.01  3200036     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.96      0.89     0.01 19995636     0.00     0.00  std::list<int, std::allocator<int> >::end()
  0.96      0.90     0.01 14842056     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.96      0.91     0.01 12648000     0.00     0.00  SatProblem::getTheta(int)
  0.96      0.92     0.01  6400096     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.96      0.93     0.01  4198900     0.00     0.00  std::list<int, std::allocator<int> >::begin()
  0.96      0.94     0.01  1561182     0.00     0.00  SatProblem::getGrand()
  0.96      0.94     0.01  1561182     0.00     0.00  Random::genrand()
  0.96      0.95     0.01  1560103     0.00     0.00  SatProblem::getVar(int)
  0.96      0.96     0.01   800020     0.00     0.00  std::_List_base<int, std::allocator<int> >::_M_init()
  0.96      0.97     0.01   374226     0.00     0.00  SatProblem::addNumSat(int)
  0.96      0.98     0.01   112000     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.96      0.99     0.01   100000     0.00     0.00  SampleSAT::init_model()
  0.96      1.00     0.01    95876     0.00     0.00  SampleSAT::greedyWalk()
  0.96      1.01     0.01    95799     0.00     0.00  SampleSAT::randomWalk()
  0.96      1.02     0.01        1     0.01     1.03  SampleSAT::learn(int*, char*, int, char*)
  0.48      1.03     0.01  6400096     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.48      1.03     0.01  3200036     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned int)
  0.48      1.04     0.01       28     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
